"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 49 ending December 07, 2019"	"2019/49"	10221	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 50 ending December 14, 2019"	"2019/50"	10140	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 51 ending December 21, 2019"	"2019/51"	10055	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 52 ending December 28, 2019"	"2019/52"	10264	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week Not Available"	"2019/99"	127	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 01 ending January 04, 2020"	"2020/01"	10502	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 02 ending January 11, 2020"	"2020/02"	10441	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 03 ending January 18, 2020"	"2020/03"	10366	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 04 ending January 25, 2020"	"2020/04"	10416	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 05 ending February 01, 2020"	"2020/05"	10277	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 06 ending February 08, 2020"	"2020/06"	10354	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 07 ending February 15, 2020"	"2020/07"	10249	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 08 ending February 22, 2020"	"2020/08"	10086	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 09 ending February 29, 2020"	"2020/09"	10453	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 10 ending March 07, 2020"	"2020/10"	10312	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 11 ending March 14, 2020"	"2020/11"	10322	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 12 ending March 21, 2020"	"2020/12"	10507	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 13 ending March 28, 2020"	"2020/13"	13116	Not Applicable	Not Applicable
